id,firstName,lastName,primaryNumber,birthDate,height,weight,batSide,pitchHand
605170,Victor,Caratini,37,8/17/1993,"6' 0""",225,S,R
666185,Dylan,Carlson,3,10/23/1998,"6' 1""",200,S,L
681481,Kerry,Carpenter,30,9/2/1997,"6' 1""",220,L,R
471911,Carlos,Carrasco,59,3/21/1987,"6' 4""",224,R,R
694249,Cole,Carrigg,16,5/8/2002,"6' 2""",204,S,R
672629,Gerardo,Carrillo,68,9/13/1998,"6' 1""",185,R,R
682998,Corbin,Carroll,7,8/21/2000,"5' 10""",180,L,L
694497,Evan,Carter,32,8/29/2002,"6' 2""",190,L,R
676508,Benjamin,Casparius,78,2/11/1999,"6' 2""",215,R,R
680604,Blas,Castano,63,9/8/1998,"5' 10""",162,R,R
682769,Eiberson,Castellano,55,5/9/2001,"6' 3""",214,R,R
592206,Nicholas,Castellanos,21,3/4/1992,"6' 3""",203,R,R
622491,Luis,Castillo,58,12/12/1992,"6' 2""",200,R,R
665645,Kervin,Castro,74,2/7/1999,"5' 10""",234,R,R
650489,Willi,Castro,3,4/24/1997,"6' 0""",209,S,R
695508,Cameron,Cauley,27,2/6/2003,"5' 9""",170,R,R
676917,Steven,Cavalli,24,8/14/1998,"6' 4""",223,R,R
701852,Drew,Cavanaugh,61,1/27/2002,"6' 0""",219,L,R
656302,Dylan,Cease,84,12/28/1995,"6' 2""",200,R,R
677944,Slade,Cecconi,44,6/24/1999,"6' 4""",219,R,R
672021,Eric,Cerantola,,5/2/2000,"6' 5""",225,R,R
696149,Roy,Chandler,36,9/14/2002,"6' 3""",206,S,R
665953,Andrés,Chaparro,87,5/4/1999,"6' 0""",200,R,R
547973,Albertin,Chapman,44,2/28/1988,"6' 4""",235,L,L
656305,Matt,Chapman,26,4/28/1993,"6' 1""",220,R,R
691907,Tsung-Che,Cheng,39,7/26/2001,"5' 8""",180,L,R
665862,Jasrado,Chisholm,13,2/1/1998,"5' 11""",184,L,R
683409,Angel,Chivilli,57,7/28/2002,"6' 2""",185,R,R
694192,Jackson,Chourio,11,3/11/2004,"6' 1""",199,R,R
701675,Nathan,Church,27,7/12/2000,"5' 10""",180,L,L
650644,Aaron,Civale,38,6/12/1995,"6' 1""",245,R,R
703601,Maxwell,Clark,15,12/21/2004,"5' 11""",205,L,L
672016,Denzel,Clarke,1,5/1/2000,"6' 3""",220,R,R
664199,Taylor,Clarke,45,5/13/1993,"6' 3""",210,R,R
682729,Jonatan,Clase,8,5/23/2002,"5' 10""",150,S,R
664076,Garrett,Cleavinger,60,4/23/1994,"6' 1""",225,R,L
665019,Kody,Clemens,2,5/15/1996,"6' 0""",200,L,R
676391,Ernie,Clement,22,3/22/1996,"6' 0""",170,R,R
543037,Gerrit,Cole,45,9/8/1990,"6' 4""",220,R,R
805904,Zachary,Cole,16,8/4/2000,"6' 2""",190,L,R
686555,Isaac,Collins,1,7/22/1997,"5' 8""",188,S,R
686560,Gavin,Collyer,65,5/12/2001,"6' 1""",165,R,R
624424,Michael,Conforto,20,3/1/1993,"5' 11""",215,L,R
665052,Griffin,Conine,18,7/11/1997,"6' 1""",210,L,R
661388,William,Contreras,24,12/24/1997,"5' 10""",217,R,R
575929,Willson,Contreras,40,5/13/1992,"6' 0""",240,R,R
702047,Alexander,Cook,54,3/29/2001,"6' 2""",220,R,R
695257,William,Cook,25,1/7/1999,"6' 0""",204,R,R
571578,Patrick,Corbin,46,7/19/1989,"6' 4""",225,L,L
683000,Riley,Cornelio,74,6/6/2000,"6' 3""",195,R,R
692030,Jose,Corniell,59,6/22/2003,"6' 2""",165,R,R
621043,Carlos,Correa,1,9/22/1994,"6' 3""",220,R,R
666126,Carlos,Cortes,26,6/30/1997,"5' 7""",197,L,S
676680,Thomas,Cosgrove,34,6/14/1996,"6' 2""",190,L,L
543056,Daniel,Coulombe,67,10/26/1989,"5' 10""",190,L,L
681297,Colton,Cowser,17,3/20/2000,"6' 3""",220,L,R
813841,Jonah,Cox,53,8/4/2001,"6' 2""",204,R,R
641487,John,Crawford,3,1/11/1995,"6' 0""",202,L,R
702222,Justin,Crawford,2,1/13/2004,"6' 2""",188,L,R
686611,Dylan,Crews,3,2/26/2002,"5' 11""",203,R,R
681867,Cooper,Criswell,88,7/24/1996,"6' 6""",200,R,R
676105,Jeffrey,Criswell,46,3/10/1999,"6' 4""",236,R,R
676979,Garrett,Crochet,35,6/21/1999,"6' 6""",245,L,L
630105,Jacob,Cronenworth,9,1/21/1994,"5' 11""",187,L,R
699625,James,Crooks,8,7/19/2001,"6' 0""",230,L,R
689441,Coleman,Crow,57,12/30/2000,"5' 10""",175,R,R
691718,Pete,Crow-Armstrong,4,3/25/2002,"6' 0""",184,L,L
518585,Fernando,Cruz,63,3/28/1990,"6' 2""",237,R,R
665833,Oneil,Cruz,15,10/4/1998,"6' 7""",248,L,R
674444,Steven,Cruz,64,6/15/1999,"6' 7""",225,R,R
669360,Trei,Cruz,40,7/5/1998,"6' 0""",204,S,R
672442,Yovanny,Cruz,48,8/23/1999,"6' 0""",180,R,R
621016,Jose,Cuas,74,6/28/1994,"6' 3""",195,R,R
701785,Kaelen,Culpepper,12,12/29/2002,"5' 10""",185,R,R
675540,Xzavion,Curry,53,7/27/1998,"6' 0""",195,R,R
694753,Khristian,Curtis,64,5/9/2002,"6' 5""",215,R,R
681168,Luis,Curvelo,57,10/21/2000,"6' 1""",170,R,R
518595,Travis,d'Arnaud,25,2/10/1989,"6' 0""",210,R,R
689149,John,Dallas,37,6/26/2000,"5' 11""",206,R,R
689546,Nicholas,Davila,82,11/21/1998,"6' 3""",230,R,R
680779,Henry,Davis,32,9/21/1999,"5' 11""",225,R,R
699823,Tyler,Davis,63,10/3/1998,"6' 2""",210,R,R
701474,Duncan,Davitt,,9/23/1999,"6' 3""",235,R,R
681909,Justin,Dean,1,12/6/1996,"5' 8""",185,R,R
594798,Jacob,deGrom,48,6/19/1988,"6' 4""",180,L,R
646241,Enmanuel,De Jesus,37,12/10/1996,"6' 3""",190,L,L
650559,Bryan,De La Cruz,41,12/16/1996,"6' 0""",175,R,R
682829,Elly,De La Cruz,44,1/11/2002,"6' 6""",200,S,R
800050,Chase,DeLauter,24,10/8/2001,"6' 3""",235,L,L
680728,Adrian,Del Castillo,25,9/27/1999,"5' 9""",205,L,R
669384,Raynel,Delgado,29,4/4/2000,"6' 0""",210,L,R
691277,Deyvison,De Los Santos,63,6/21/2003,"6' 1""",185,R,R
660853,Enyel,De Los Santos,65,12/25/1995,"6' 3""",235,R,R
660787,Yerry,De los Santos,73,12/12/1997,"6' 3""",230,R,R
676356,Jonathan,DeLuca,21,7/10/1998,"5' 10""",195,R,R
672282,Reid,Detmers,48,7/8/1999,"6' 2""",210,L,L
606965,Christopher,Devenski,56,11/13/1990,"6' 3""",208,R,R
646240,Rafael,Devers,16,10/24/1996,"6' 0""",235,L,R
701305,Zachary,Dezenzo,9,5/11/2000,"6' 5""",220,R,R
621242,Edwin,Díaz,3,3/22/1994,"6' 3""",165,R,R
553869,Elias,Díaz,35,11/17/1990,"6' 1""",223,R,R
646242,Jhonathan,Díaz,74,9/13/1996,"6' 0""",170,L,L
673237,Yainer,Diaz,21,9/21/1998,"5' 11""",195,R,R
650490,Yandy,Díaz,2,8/8/1991,"6' 0""",235,R,R
700270,Yilber,Díaz,62,8/19/2000,"6' 0""",190,R,R
693307,Francis,Dingler,13,9/17/1998,"6' 1""",210,R,R
702021,William,Dion,76,4/17/2000,"5' 10""",180,L,L
690928,Hunter,Dobbins,40,8/30/1999,"6' 2""",185,R,R
677976,Randy,Dobnak,62,1/17/1995,"6' 1""",230,R,R
689266,Dylan,Dodd,46,6/6/1998,"6' 2""",210,L,L
801403,Tyler,Dollander,32,10/26/2001,"6' 2""",219,R,R
691176,Jasson,Domínguez,24,2/7/2003,"5' 9""",218,S,R
622554,Seranthony,Domínguez,58,11/25/1994,"6' 1""",225,R,R
680977,Brendan,Donovan,33,1/16/1997,"5' 11""",210,L,R
696062,Wilber,Dotel,66,9/25/2002,"6' 3""",238,R,R
666808,Camilo,Doval,75,7/4/1997,"6' 2""",205,R,R
686668,Brenton,Doyle,7,5/14/1998,"6' 3""",223,R,R
684442,Kohl,Drake,58,7/17/2000,"6' 5""",220,L,L
676263,Jacob,Dreyer,86,2/27/1999,"6' 2""",205,R,L
675660,Shane,Drohan,55,1/7/1999,"6' 2""",202,L,L
650960,Daniel,Duarte,54,12/4/1996,"6' 0""",235,R,R
643289,Mauricio,Dubón,14,7/19/1994,"5' 11""",173,R,R
694362,Blake,Dunn,59,9/5/1998,"5' 9""",210,R,R
686554,Oliver,Dunn,35,9/2/1997,"5' 10""",207,L,R
679922,Carlos,Duran,45,7/30/2001,"6' 7""",230,R,R
677649,Ezequiel,Duran,20,5/22/1999,"5' 10""",185,R,R
680776,Jarren,Duran,16,9/5/1996,"6' 0""",205,L,R
661395,Jhoan,Duran,59,1/8/1998,"6' 5""",230,R,R
660710,Rodolfo,Durán,48,2/19/1998,"5' 8""",181,R,R
702332,Caleb,Durbin,5,2/22/2000,"5' 6""",183,R,R
813349,Todd,Early,19,4/3/2002,"6' 3""",195,L,L
681987,Nathan,Eaton,18,12/22/1996,"5' 11""",200,R,R
671109,Jacob,Eder,56,10/9/1998,"6' 4""",225,L,L
669242,Thomas,Edman,25,5/9/1995,"5' 10""",193,S,R
605218,Carl,Edwards,79,9/3/1991,"6' 3""",165,R,R
669364,Xavier,Edwards,9,8/9/1999,"5' 9""",175,S,R
621107,Zachary,Eflin,24,4/8/1994,"6' 6""",230,R,R
685126,Brandon,Eisert,14,1/19/1998,"6' 2""",210,L,L
694795,Joshua,Ekness,95,2/7/2002,"6' 4""",225,R,R
693821,Bryce,Elder,55,5/19/1999,"6' 2""",220,R,R
805811,Bryson,Eldridge,8,10/20/2004,"6' 7""",251,L,R
592288,Kent,Emanuel,67,6/4/1992,"6' 4""",225,L,L
806068,Colt,Emerson,4,7/20/2005,"6' 0""",195,L,R
666464,Jerar,Encarnacion,19,10/22/1997,"6' 4""",265,R,R
687952,Christian,Encarnacion-Strand,32,12/1/1999,"6' 1""",224,R,R
669438,Mason,Englert,59,11/1/1999,"6' 4""",205,S,R
608650,Dietrich,Enns,71,5/16/1991,"6' 1""",230,L,L
543135,Nathan,Eovaldi,17,2/13/1990,"6' 2""",217,R,R
668674,Lucas,Erceg,60,5/1/1995,"6' 2""",214,L,R
641555,Juan,Escarra,25,4/24/1995,"6' 2""",220,L,R
664744,Jose,Espada,70,2/22/1997,"6' 0""",185,R,R
669289,Santiago,Espinal,5,11/13/1994,"5' 9""",185,R,R
682982,Daniel,Espino,41,1/5/2001,"6' 0""",225,R,R
683155,Joseph,Estes,68,10/8/2001,"6' 2""",190,R,R
608032,Carlos,Estévez,53,12/28/1992,"6' 6""",277,R,R
669093,Jeremiah,Estrada,56,11/1/1998,"6' 1""",185,S,R
681751,Lazaro,Estrada,60,4/24/1999,"5' 10""",180,R,R
805999,Andrew,Ewing,9,8/10/2004,"5' 10""",160,L,R
664126,Peter,Fairbanks,29,12/16/1993,"6' 6""",235,R,R
656413,Stuart,Fairchild,63,3/17/1996,"5' 11""",205,R,R
663559,Bailey,Falter,,4/24/1997,"6' 4""",205,R,L
571657,James,Farmer,52,8/17/1990,"5' 11""",205,R,R
815083,Mitchell,Farris,70,2/14/2001,"6' 2""",195,L,L
676534,Calvin,Faucher,53,9/22/1995,"6' 1""",190,R,R
607200,Erick,Fedde,47,2/25/1993,"6' 4""",205,R,R
693459,Kyler,Fedko,51,9/21/1999,"6' 0""",215,R,R
676439,Hunter,Feduccia,46,6/5/1997,"6' 1""",215,L,R
663372,Ryan,Feltner,18,9/2/1996,"6' 4""",200,R,R
657571,Caleb,Ferguson,54,7/2/1996,"6' 3""",225,R,L
621053,Tyler,Ferguson,64,10/5/1993,"6' 4""",225,R,R
666023,Freddy,Fermin,54,5/16/1995,"5' 10""",200,R,R
665877,José,Fermín,15,3/29/1999,"5' 10""",198,R,R
820862,Jose,Fermin,65,11/28/2001,"6' 3""",242,R,R
699912,Jose,Fernandez,11,9/22/2003,"6' 3""",215,R,R
642759,Julian,Fernández,65,12/5/1995,"6' 6""",230,R,R
681676,Ryan,Fernandez,64,6/11/1998,"6' 0""",200,R,R
678606,José,Ferrer,45,3/3/2000,"6' 1""",233,L,L
670036,Matthew,Festa,52,3/11/1993,"6' 1""",195,R,R
640448,Kyle,Finnegan,67,9/4/1991,"6' 2""",198,R,R
680755,Braydon,Fisher,63,7/26/2000,"6' 4""",180,R,R
702153,Brian,Fitzpatrick,35,6/1/2000,"6' 7""",225,S,L
656427,Jack,Flaherty,9,10/15/1995,"6' 4""",225,R,R
676596,Josh,Fleming,19,5/18/1996,"6' 2""",220,L,L
804668,Rafael,Flores,43,11/7/2000,"6' 3""",232,R,R
689254,Mason,Fluharty,68,8/13/2001,"6' 2""",215,R,L
671345,Jason,Foley,64,11/1/1995,"6' 4""",215,R,R
695670,Harrison,Ford,17,2/21/2003,"5' 10""",200,R,R
663743,Nicholas,Fortes,40,11/11/1996,"5' 11""",198,R,R
679822,Justin,Foscue,14,3/2/1999,"5' 11""",205,R,R
671382,Cameron,Foster,65,3/17/1999,"6' 5""",240,R,R
641584,Jake,Fraley,17,5/25/1995,"5' 11""",206,L,L
641585,Jonathan,France,,4/4/1995,"6' 0""",198,R,R
664034,Tyler,France,25,7/13/1994,"5' 10""",215,R,R
683742,Jose,Franco,74,11/25/2000,"6' 2""",257,R,R
681047,Christian,Franklin,27,11/30/1999,"5' 9""",195,R,R
693308,Nicholas,Frasso,41,10/18/1998,"6' 5""",200,R,R
624428,Adam,Frazier,20,12/14/1991,"5' 10""",190,L,R
690976,Alexander,Freeland,76,8/24/2001,"5' 11""",200,S,R
